id,eng_Latn,hin_Deva,kan_Knda,tam_Taml
38,"The luminosity and rotation are used together to determine a star's Rossby number, which is related to plasma flow.","एक तारे की रॉस्बी संख्या, जो प्लाज़्मा फ़्लो से संबंधित है, का पता लगाने के लिए उसकी चमक और रोटेशन का एक साथ इस्तेमाल किया जाता है,","ನಕ್ಷತ್ರದ ರಾಸ್ಬಿ ಸಂಖ್ಯೆಯನ್ನು ನಿರ್ಧರಿಸಲು ಪ್ರಕಾಶಮಾನತೆ ಮತ್ತು ಪರಿಭ್ರಮಣೆಯನ್ನು ಒಟ್ಟಿಗೆ ಬಳಸಲಾಗುತ್ತದೆ, ಇದು ಪ್ಲಾಸ್ಮಾ ಹರಿವಿಗೆ ಸಂಬಂಧಿಸಿದ್ದಾಗಿದೆ.","ஒரு நட்சத்திரத்தின் ராஸ்பி எண்ணைத் தீர்மானிக்க ஒளிர்வு மற்றும் சுழற்சி இரண்டும் ஒரே சமயத்தில் பயன்படுத்தப்படுகின்றன, இது பிளாஸ்மா ஓட்டத்துடன் தொடர்புடையது."
39,"The smaller the Rossby number, the less active the star with respect to magnetic reversals.","रॉस्बी संख्या जितनी छोटी होगी, चुंबकीय उत्क्रमण के संबंध में तारा उतना ही कम सक्रिय होगा.","ರಾಸ್ಬೀ  ಸಂಖ್ಯೆ ಚಿಕ್ಕದಾದಷ್ಟೂ, ಆ ತಾರೆ ಕಾಂತೀಯ ವಿಲೋಮತೆಯಲ್ಲಿ ಕಡಿಮೆ ಸಕ್ರಿಯವಾಗಿರುತ್ತದೆ.","ரோஸ்பி எண் குறைவாக உள்ள நட்சத்திரம், காந்தப்புற மாற்ற தொடர்புகளுடன் மிகவும் குறைந்த செயல்பாடு கொண்டதாகவே இருக்கும்."
40,"During his trip, Iwasaki ran into trouble on many occasions.","अपनी यात्रा के दौरान, इवासाकी कई मौकों पर परेशानियों में फंस गया था.","ಈ ಪ್ರವಾಸದ ಅವಧಿಯಲ್ಲಿ, ಹಲವು ಸನ್ನಿವೇಶಗಳಲ್ಲಿ ಇವಾಸಾಕಿ ಸಮಸ್ಯೆಗೆ ಸಿಲುಕಿದರು.","தனது பயணத்தின்போது, ​​இவாசாகி பல சந்தர்ப்பங்களில் பிரச்சனையில் சிக்கினார்."
41,"He was robbed by pirates, attacked in Tibet by a rabid dog, escaped marriage in Nepal and was arrested in India.","उसे समुद्री डाकुओं ने लूटा था, तिब्बत में पागल कुत्ते ने हमला किया, नेपाल में शादी से भाग निकला और भारत में गिरफ्तार कर लिया गया।","ಅವನು ಕಡಲ್ಗಳ್ಳರಿಂದ ಲೂಟಿ ಮಾಡಲ್ಪಟ್ಟು, ಟಿಬೆಟ್‌ನಲ್ಲಿ ಹುಚ್ಚು ನಾಯಿಯ   ದಾಳಿಗೊಳಗಾಗಿ, ನೇಪಾಳದಲ್ಲಿ ಮದುವೆಯಾಗುವುದರಿಂದ ತಪ್ಪಿಸಿಕೊಂಡು ಕಡೆಗೆ ಭಾರತದಲ್ಲಿ ಸೆರೆಯಾದ.","அவர் கடற்கொள்ளையர்களால் கொள்ளையடிக்கப்பட்டார், திபெத்தில் ராபிஸ் பாதித்த வெறித்தனமான நாயால் தாக்கப்பட்டார், நேபாளத்தில் திருமணத்திலிருந்து தப்பினார், இந்தியாவில் கைது செய்யப்பட்டார்."
42,The 802.11n standard operates on both the 2.4Ghz and 5.0Ghz frequencies.,802.11n मानक दोनों 2.4 गीगाहर्टज़ और 5.0 गीगाहर्टज़ आवृत्तियों पर काम करता है.,802.11n ಗುಣಮಟ್ಟದ 2.4Ghz ಮತ್ತು 5.0Ghz ಪುನರಾವರ್ತನೆಯಲ್ಲಿ ಕಾರ್ಯನಿರ್ವಹಿಸುತ್ತದೆ.,802.11n தரம் 2.4Ghz மற்றும் 5.0Ghz அலைவரிசை ஆகிய இரண்டிலும் செயல்படும்.
43,"This will allow it to be backwards compatible with 802.11a, 802.11b and 802.11g, provided that the base station has dual radios.","यह इसे 802.11a, 802.11b और 802.11g के साथ पीछे की ओर संगत करने की अनुमति देगा, बशर्ते कि बेस स्टेशन में दोहरे रेडियो हों.","ಬೇಸ್ ಸ್ಟೇಷನ್‍‌ನಲ್ಲಿ ಡ್ಯುಯಲ್ ರೇಡಿಯೋ ಹೊಂದಿದ್ದಲ್ಲಿ,  ಇದು 802.11a, 802.11b ಮತ್ತು 802.11g ಗಳೊಂದಿಗೆ ಅದನ್ನು ಹಿಮ್ಮೊಗ ಹೊಂದಾಣಿಕೆಯಾಗಲು  ಅವಕಾಶ ಮಾಡಿಕೊಡುತ್ತದೆ.","அடிப்படையான தளத்தில் இரண்டு ரேடியோக்கள் வழங்கப்பட்டால், இது 802.11a, 802.11b மற்றும் 802.11g உடன் பின்னோக்கிய நிலையில் இணக்கமாக இருக்க அனுமதிக்கும்."
44,The speeds of 802.11n are substantially faster than that of its predecessors with a maximum theoretical throughput of 600Mbit/s.,600 मेगाबिट/सेकंड के अधिकतम थियोरिटीकल थ्रोपुट के साथ 802.11n की गति अपने पहले वाले चालकों से उल्लेखनीय रूप से बहुत तेज़ है.,"802.11n ವೇಗವು ಅದರ ಹಿಂದಿನ ಉತ್ಪನ್ನಗಳಿಗಿಂತ ಹೆಚ್ಚು ವೇಗವಾಗಿರುತ್ತದೆ, ಗರಿಷ್ಠ ಸೈದ್ಧಾಂತಿಕ ಥ್ರೋಪುಟ್ 600Mbit/s ಆಗಿದೆ.",802.11n இன் வேகம் அதற்கு முந்தையவைகளை விட அதிகபட்சம் தியரடிகல் த்ரூபுட் 600Mbit/s உடன் மிகுந்த வேகம் கொண்டது.
45,"Duvall, who is married with two adult children, did not leave a big impression on Miller, to whom the story was related.","डुवैल, जो विवाहित है और उसके दो वयस्क बच्चे हैं, उसने मिलर पर बड़ा असर नहीं किया, जिस से कहानी संबंधित है.","ಇಬ್ಬರು ವಯಸ್ಕ ಮಕ್ಕಳಿದ್ದರೂ ವಿವಾಹವಾದ ಡುವಾಲ್, ಈ ಕಥಾನಾಯಕಿಯಾಗಿರುವ ಮಿಲ್ಲರ್ ಮೇಲೆ ಅಷ್ಟೇನೂ ಪ್ರಭಾವ ಬೀರಲಿಲ್ಲ.","இரண்டு வயதுவந்த குழந்தைகளுடன் திருமணம் செய்து கொண்ட டுவல்லால், இக்கதை விவரிக்கப்பட்ட மில்லரின் மனதில் ஒரு பெரிய அபிப்ராயத்தை ஏற்படுத்த முடியவில்லை."
46,"When asked for comment, Miller said, ""Mike talks a lot during the hearing...I was getting ready so I wasn't really hearing what he was saying.""","जब टिप्पणी के लिए कहा गया, तो मिलर ने कहा, “माइक सुनते समय बहुत सारी बातें करता है ... मैं तैयार हो रहा था इसलिए वह जो कह रहा था मैं वास्तव में उसे सुन नहीं रहा था”.","ಮಿಲ್ಲರ್ ಅವರನ್ನು ಪ್ರತಿಕ್ರಿಯೆ ನೀಡುವಂತೆ ಕೇಳಿದಾಗ, ""ಕೇಳುವವರಿದ್ದಾರೆ ಮೈಕ್ ತುಂಬಾ ಮಾತನಾಡುತ್ತಾರೆ...ನಾನು ರೆಡಿಯಾಗುತ್ತಿದ್ದೆ ಹೀಗಾಗಿ ಅವರು ಏನು ಹೇಳುತ್ತಿದ್ದರೆಂದು ನಾನು ನಿಜವಾಗಿಯೂ ಕೇಳಿಸಿಕೊಳ್ಳಲಿಲ್ಲ"" ಎಂದು ಹೇಳಿದರು.","""கருத்து கேட்டபோது, """"விசாரணையின் போது மைக் அதிகளவு பேசுகிறார்.. நான் விசாரணைக்காக தயாராகி கொண்டிருந்ததால் அவர் கூறியதை நான் கேட்கவில்லை"""", என்று மில்லர் கூறினார். """
47,"""We will endeavour to cut carbon dioxide emissions per unit of GDP by a notable margin by 2020 from the 2005 level,"" Hu said.","“हू ने कहा, हम 2005 के स्तर से 2020 तक उल्लेखनीय अंतर से सकल घरेलू उत्पाद की प्रति यूनिट कार्बन डाइऑक्साइड उत्सर्जन में कटौती करने का प्रयास करेंगे.","2005 ರಿಂದ 2020 ರ ವೇಳೆಗೆ, ಜಿಡಿಪಿಯ ಪ್ರತಿ ಯೂನಿಟ್‌ಗೆ ಹೊರಸೂಸುವ ಇಂಗಾಲದ ಡೈ ಆಕ್ಸೈಡ್‌ನ ಪ್ರಮಾಣದಲ್ಲಿ ಗಮನಾರ್ಹವಾಗಿ ಕಡಿತಗೊಳಿಸಲು ನಾವು ಪ್ರಯತ್ನಿಸುತ್ತೇವೆಂದು ಹೂ ಹೇಳಿದ್ದಾರೆ.","""""""நாங்கள் கார்பன் டை ஆக்சைடு வெளியேற்றத்தை 2005 ஆம் ஆண்டிலிருந்து 2020 க்குள் குறிப்பிடத்தக்க ஜி. டி. பி இன் ஒரு யூனிட்டிருக்கு குறைக்க முயல்கிறோம்"""" என ஹு தெரிவித்தார்."""
48,"He did not set a figure for the cuts, saying they will be made based on China's economic output.","यह कहते हुए कि वे चीन के आर्थिक उत्पादन के आधार पर बनाए जाएँगे, उन्होंने कटौती के लिए कोई आँकड़ा निर्धारित नहीं किया.","ಅವನು ಕಡಿತಗಳಿಗೆ ನಿರ್ದಿಷ್ಟ ಸಂಖ್ಯೆಗಳನ್ನು ನೀಡದೆ, ಅವು  ಚೀನಾದ ಆರ್ಥಿಕ ಉತ್ಪತ್ತಿಯ ಮೇಲೆ ಅವಲಂಬಿತವಾಗಿರುತ್ತದೆ ಎಂದು ಹೇಳಿದ.","குறைப்புகளுக்கு ஒரு புள்ளிவிவரத்தை அவர் அமைக்கவில்லை, அவை சீனாவின் பொருளாதார உற்பத்தியின் அடிப்படையில் செய்யப்படும் என்று அவர் கூறினார்."
49,"Hu encouraged developing countries ""to avoid the old path of polluting first and cleaning up later.""",हू ने विकासशील देशों को “ पुराने तरीकों से प्रदूषण फैलाने से रोकने और बाद में सफाई करने के लिए प्रोत्साहित किया।”,"""ಮೊದಲು ಮಾಲಿನ್ಯಗೊಳಿಸಿ ಆನಂತರ ಸ್ವಚ್ಛಗೊಳಿಸುವ ಹಳೆಯ ಮಾರ್ಗವನ್ನು ಹಿಡಿಯದಿರಲು""  ಅಭಿವೃದ್ಧಿಶೀಲ ರಾಷ್ಟ್ರಗಳನ್ನು ಹೂ ಪ್ರೋತ್ಸಾಹಿಸಿದರು.","""வளரும் நாடுகளை """"முதலில் மாசுபடுத்திவிட்டு பின்னர் சுத்தம் செய்வது என்ற பழைய பழக்கத்தை தவிர்க்க"""" ஹூ ஊக்குவித்தார். """
50,"He added that ""they should not, however, be asked to take on obligations that go beyond their development stage, responsibility and capabilities.""","उन्होंने आगे कहा कि “हालाँकि, उन्हें ऐसे दायित्व लेने के लिए नहीं कहा जाना चाहिए जो उनके विकास के चरण, जिम्मेदारी और क्षमताओं से परे हैं.”","ಅವರು ಸೇರಿಸಿರುವುದೇನೆಂದರೆ ""ಆದಾಗ್ಯೂ, ಬೆಳವಣಿಗೆ ಹಂತ, ಜವಾಬ್ದಾರಿ ಮತ್ತು ಸಾಮರ್ಥ್ಯಗಳಾಚೆಗೆ ಬಾಧ್ಯತೆಗಳನ್ನು ಹೊಂದುವಂತೆ ಅವರನ್ನು ಕೇಳಬಾರದು.""","’அவர்களது வளர்ச்சி நிலை, பொறுப்பு மற்றும் திறன்களை மீறிய கடமைகளை ஏற்றுக்கொள்ளுமாறு அவர்களை நீங்கள் கேட்க கூடாது’ என்று அவர் மேலும் கூறினார்."
51,The Iraq Study Group presented its report at 12.00 GMT today.,आज 12.00 GMT पर इराक स्टडी ग्रुप ने अपनी रिपोर्ट प्रस्तुत की.,ಇರಾಕ್ ನ ಅಧ್ಯಾಯನ ಗುಂಪು ಇಂದು 12.00 GMT ಕ್ಕೆ ತನ್ನ ವರದಿಯನ್ನು ಮಂಡಿಸಿತು.,"ஈராக் ஆய்வுக் குழு, தனது அறிக்கையை இன்று 12.00 GMT-க்கு வழங்கியது."
52,"It warns No one can guarantee that any course of action in Iraq at this point will stop sectarian warfare, growing violence, or a slide toward chaos.","यह चेतावनी देता है कि कोई भी इस बात की गारंटी नहीं दे सकता कि इस स्थिति में इराक में किसी भी तरह की कार्रवाई से सांप्रदायिक युद्ध, बढ़ती हिंसा या अराजकता पर लगाम लगेगी.","ಈ ಸಮಯದಲ್ಲಿ ಇರಾಕ್‌ನಲ್ಲಿ ಯಾವುದೇ ಕ್ರಮ ಕೈಗೊಂಡರೂ ಪಂಥೀಯ ಯುದ್ಧ, ಹೆಚ್ಚುತ್ತಿರುವ ಹಿಂಸಾಚಾರ ಅಥವಾ ಸಮಾಜದ ಅವ್ಯವಸ್ಥೆಯು ಹೀನ ಪಥದತ್ತ ಸಾಗುವುದನ್ನು ನಿಲ್ಲಿಸುತ್ತದೆ ಎಂದು ಯಾರೂ ಖಾತರಿಪಡಿಸುವುದಿಲ್ಲ ಎಂದು ಅದು ಎಚ್ಚರಿಸಿದೆ.","அது, இந்த சமயத்தில், இரானில் எடுக்கப்படும் எவ்வித நடவடிக்கையாலும் பிரிவினைப் போர், வளரும் வன்முறை அல்லது குழப்பத்தின் தோற்றம் ஆகியவற்றை நிறுத்த இயலும் என்பதற்கான உத்தரவாதம் எவராலும் அளிக்க இயலாது என்று எச்சரிக்கிறது."
53,The Report opens with plea for open debate and the formation of a consensus in the United States about the policy towards the Middle East.,खुली बहस और मध्य पूर्व की ओर नीति के बारे में संयुक्त राज्य अमेरिका में आम सहमति बनाने के लिए रिपोर्ट एक याचिका के साथ खुलती है.,ಮುಕ್ತ ಚರ್ಚೆಯ ಮನವಿ ಮತ್ತು ಮಧ್ಯಪ್ರಾಚ್ಯದ ಬಗೆಗಿನ ನೀತಿಯ ಬಗ್ಗೆ ಯುನೈಟೆಡ್ ಸ್ಟೇಟ್ಸ್‌ನಲ್ಲಿ ಒಮ್ಮತದ ರಚನೆಯ ಕುರಿತಾಗಿ ಈ ವರದಿಯಲ್ಲಿ ತಿಳಿಸಲಾಗಿದೆ.,"இந்த அறிக்கை திறந்த விவாதத்திற்கான வேண்டுகோளுடனும், மத்திய கிழக்கிற்கான கொள்கை குறித்து அமெரிக்காவில் ஒருமித்த கருத்தை உருவாக்குகிறது."
54,The Report is highly critical of almost every aspect of the present policy of the Executive towards Iraq and it urges an immediate change of direction.,यह रिपोर्ट इराक के प्रति प्रशासन की वर्तमान नीति के लगभग सभी पहलुओं के प्रति बेहद आलोचनात्मक है और यह इसकी दिशा में तत्काल परिवर्तन का आग्रह करती है।,ಇರಾಕ್ ಬಗೆಗೆ ಕಾರ್ಯನಿರ್ವಾಹಕರ ಪ್ರಸ್ತುತ ನೀತಿಯ ಪ್ರತಿಯೊಂದು ಅಂಶಗಳ ಬಗ್ಗೆ ವರದಿಯು ಹೆಚ್ಚು ವಿಮರ್ಶಾತ್ಮಕವಾಗಿದೆ ಮತ್ತು ಇದು ನಿರ್ದೇಶನಗಳ ತಕ್ಷಣದ ಬದಲಾವಣೆಯನ್ನು ಒತ್ತಾಯಿಸುತ್ತದೆ.,"ஈராக்கை நோக்கிய நிர்வாகத்தின் தற்போதைய கொள்கையின் ஒவ்வொரு அம்சத்தையும் இந்த அறிக்கை மிகவும் விமர்சிக்கிறது, மேலும் இது உடனடியாக திசையை மாற்ற வலியுறுத்துகிறது."
55,First among its 78 recommendations is that a new diplomatic initiative should be taken before the end of this year to secure Iraq’s borders against hostile interventions and to re-establish diplomatic relations with its neighbors.,"78 सुझावों में से सबसे पहला सुझाव यह है कि शत्रुतापूर्ण हस्तक्षेपों के खिलाफ इराक की सीमाओं को सुरक्षित करने और अपने पड़ोसियों के साथ कूटनीतिक संबंधों को फिर से बनाने के लिए, ये साल खत्म होने से पहले कोई नई राजनयिक पहल की जानी चाहिए.","ಅದರ 78 ಶಿಫಾರಸುಗಳ ಪೈಕಿ ಮೊದಲನೆಯದೆಂದರೆ, ಶತ್ರುಗಳ ಮಧ್ಯಪ್ರವೇಶದ ವಿರುದ್ಧ ಇರಾಕ್‌ ಗಡಿಗಳನ್ನು ರಕ್ಷಿಸಲು ಈ ವರ್ಷದ ಅಂತ್ಯಕ್ಕೂ ಮುನ್ನ ಹೊಸ ರಾಜತಾಂತ್ರಿಕ ಉಪಕ್ರಮಗಳನ್ನು ತೆಗೆದುಕೊಳ್ಳಬೇಕು ಮತ್ತು ತನ್ನ ನೆರೆಯವರೊಂದಿಗೆ ರಾಜತಾಂತ್ರಿಕ ಸಂಬಂಧಗಳನ್ನು ಪುನರಾರಂಭಿಸಬೇಕು ಎಂಬುದಾಗಿದೆ.",இந்த வருட முடிவிற்குள் இரானின் எல்லையை எதிரிகளின் தலையீட்டிலிருந்து பாதுகாப்பது மற்றும் அதன் அண்டை நாடுகளுடன் உடன்பாடுடைய உறவை மீண்டும் நிலை நாட்டுவது ஆகியவை அதன் 78 பரிந்துரைகளில் முதன்மையானவைகளாகும்.
56,"Current senator and Argentine First Lady Cristina Fernandez de Kirchner announced her presidential candidacy yesterday evening in La Plata, a city 50 kilometers (31 miles) away from Buenos Aires.",वर्तमान सीनेटर और अर्जेंटीना की प्रथम महिला क्रिस्टीना फ़र्नांडीज़ डी किर्चनेर ने कल शाम ब्यूनस आयर्स से 50 किलोमीटर (31 मील) दूर शहर ला प्लाटा में अपने राष्ट्रपति पद की उम्मीदवारी की घोषणा की.,ಹಾಲಿ ಸೆನೆಟರ್ ಮತ್ತು ಅರ್ಜೆಂಟೀನಾದ ಪ್ರಥಮ ಮಹಿಳೆ ಕ್ರಿಸ್ಟಿನಾ ಫರ್ನಾಂಡೀಸ್ ಡಿ ಕಿರ್ಚ್ನರ್ (ಕ್ರಿಸ್ಟಿನಾ ಫರ್ನಾಂಡೀಸ್ ಡಿ ಕಿರ್ಚ್ನರ್) ಕಳೆದ ರಾತ್ರಿ ಲಾ ಪ್ಲಾಟಾದಲ್ಲಿ ಅಧ್ಯಕ್ಷೀಯ ಉಮೇದುವಾರಿಕೆಯನ್ನು ಘೋಷಿಸಿದರು. ಎಲ್ಲಿಸ್ 50 ಕಿಲೋಮೀಟರ್ (31 ಮೈಲಿ).,"தற்போதைய சட்ட மன்ற மேலவை உறுப்பினர் மற்றும் அர்ஜெண்டினா ஜனாதிபதியின் மனைவியான கிரிஸ்டினா ஃபெர்னாண்டெஸ் டீ கிர்ச்னெர் தன் ஜனாதிபதி பதவியிற்கான வேட்பாளர் நிலையை நேற்று மாலை, ப்யூனஸ் அயர்ஸிலிருந்து 50 கிலோமீட்டர் (31 மைல்கள்) தொலைவிலுள்ள லா ப்ளாடா என்ற நகரத்தில் அறிவித்தார்."
57,"Mrs. Kirchner announced her intention to run for president at the Argentine Theatre, the same location she used to start her 2005 campaign for the Senate as member of the Buenos Aires province delegation.","श्रीमती किरचनर ने अर्जेंटीना थियेटर में राष्ट्रपति की दौड़ में शामिल होने की घोषणा की, उसी स्थान से उन्होंने ब्यूनस आयर्स प्रांत के प्रतिनिधिमंडल के सदस्य के रूप में सीनेट के लिए अपना 2005 का अभियान शुरू किया था।",ಶ್ರೀಮತಿ ಕಿರ್ಚ್ನರ್ ಅರ್ಜೆಂಟೀನಾದ ಸಭಾಂಗಣದಲ್ಲಿ ಅಧ್ಯಕ್ಷ ಸ್ಥಾನಕ್ಕೆ ಸ್ಪರ್ಧಿಸುವುದಾಗಿ ಘೋಷಿಸಿದರು ಹಾಗೂ ಅದೇ ಸ್ಥಳದಲ್ಲಿ 2005 ರ ಸೆನೆಟ್ ಸ್ಥಾನಕ್ಕಾಗಿ ಬ್ಯೂನಸ್ ಪ್ರಾಂತ್ಯದ ನಿಯೋಗದ ಸದಸ್ಯರಾಗಿ ತಮ್ಮ ಅಭಿಯಾನವನ್ನು ಪ್ರಾರಂಭಿಸಿದರು.,திருமதி. கிர்ச்னர் ஜனாதிபதி பதவிற்கு போட்டியிடும் தன் எண்ணத்தை 2005ஆம் ஆண்டு அவர் ப்யூனஸ் அயர்ஸ் மாகாண தலைமை குழு உறுப்பினர் பதவிக்கு போட்டியிடும் பொழுது பிரச்சாரத்தை துவக்கிய அதே இடமான அர்ஜெண்டினா தியேட்டரில் அறிவித்தார்.
58,"The debate was sparked by controversy over spending on relief and reconstruction in the wake Hurricane Katrina; which some fiscal conservatives have humorously labeled ""Bush's New Orleans Deal.""",तूफ़ान कैटरीना के मद्देनज़र राहत और पुनर्निर्माण पर चल रहे लंबे विवाद से बहस छिड़ गई थी; जिसमें कुछ राजकोषीय रूढ़िवादियों ने “बुश की न्यू ऑरलियन्स डील” का मज़ाक बनाया है.,"ಕತ್ರಿನಾ ಚಂಡಮಾರುತದ ಹಾವಳಿಯಿಂದಾದ ಹಾನಿಗೆ ಪರಿಹಾರ ಮತ್ತು ಪುನರ್ನಿರ್ಮಾಣಕ್ಕಾಗಿ ಖರ್ಚು ಮಾಡುವ ವಿವಾದದಿಂದಲೇ ಚರ್ಚೆಯು ಹುಟ್ಟಿಕೊಂಡಿತು; ಕೆಲವು ಹಣಕಾಸಿನ ಸಂಪ್ರದಾಯವಾದಿಗಳು ""ಬುಷ್‌ನ ನ್ಯೂ ಓರ್ಲಿಯನ್ಸ್ ಡೀಲ್"" ಎಂದು ಹಾಸ್ಯಾಸ್ಪದವಾಗಿ ಹೀಗಳೆದಿದ್ದಾರೆ.","""அந்த விவாதம் கேட்ரினா புயலைத் தொடந்த நிவாரணம் மற்றும் சீரமைப்பிற்கான செலவு குறித்த கருத்து வேறுபாட்டினால் ஏற்பட்டது; அதை சில நிதிப் பழமைவாதிகள் நகைச்சுவையாக """"புஷ்ஷின் புதிய ஆர்லியன் ஒப்பந்தம்"""" என முத்திரையிட்டனர். """
59,Liberal criticism of the reconstruction effort has focused on the awarding of reconstruction contracts to perceived Washington insiders.,पुनर्निर्माण की कोशिश की स्पष्ट आलोचना वॉशिंगटन के कथित घनिष्ट लोगों को पुनर्निर्माण के ठेके दिए जाने पर केंद्रित रही है.,ಮರುನಿರ್ಮಾಣ ಪ್ರಯತ್ನದ ಉದಾರವಾದಿ ಟೀಕೆಯು ವಾಷಿಂಗ್ಟನ್‌ ಇನ್ಸೈಡರ್‌ಗಳಿಗೆ ಮರುನಿರ್ಮಾಣ ಗುತ್ತಿಗೆಯನ್ನು ನೀಡುವುದರ ಮೇಲೆ ಗಮನ ಹರಿಸಿತ್ತು.,"புனரமைப்பு முயற்சியின் தாராளவாத விமர்சனம், வாஷிங்டன் மக்களுக்குப் புணரமைப்பு ஒப்பந்தங்களை வழங்குவதில் கவனம் செலுத்தியுள்ளது."
60,Over four million people went to Rome to attend the funeral.,"अंतिम संस्कार में शामिल होने के लिए, चार मिलियन से ज़्यादा लोग रोम गए.",ನಾಲ್ಕು ಮಿಲಿಯನ್‌ಗೂ ಹೆಚ್ಚು ಜನರು ಅಂತ್ಯಸಂಸ್ಕಾರಕ್ಕೆ ತೆರಳಿದ್ದರು.,இறுதிச்சடங்கில் கலந்துகொள்வதற்கு நான்கு மில்லியனுக்கும் அதிகமான மக்கள் ரோம் சென்றனர்.
61,The number of people present was so large that it was not possible for everybody to gain access to the funeral in St. Peter's Square.,मौजूद लोगों की संख्या इतनी बड़ी थी कि सेंट पीटर्स स्क्वायर में अंतिम संस्कार के लिए हर किसी के लिए पहुँच पाना मुमकिन नहीं था.,ಅಲ್ಲಿ ಸೇರಿದ್ದ ಜನರ ಸಂಖ್ಯೆ ಬಹಳ ಹೆಚ್ಚಾಗಿದ್ದರಿಂದ ಎಲ್ಲರಿಗೂ ಸೇಂಟ್ ಪೀಟರ್‌ನ ಚೌಕದಲ್ಲಿ ನಡೆದ ಅಂತ್ಯಕ್ರಿಯೆಗೆ ಪ್ರವೇಶ ಪಡೆಯಲಾಗಲಿಲ್ಲ.,"வருகை தந்திருந்த மக்களின் எண்ணிக்கை மிகவும் அதிகமாக இருந்த காரணத்தால், செயிண்ட். பீட்டர் ஸ்க்வயரில் அனைவருக்கும் இடம் கிடைப்பது சாத்தியமற்றதாக இருந்தது."
62,Several large television screens were installed in various places in Rome to let the people watch the ceremony.,रोम में अलग-अलग जगहों पर कई बड़े टेलीविज़न स्क्रीन लगाए गए ताकि लोग समारोह देख सकें.,ಸಮಾರಂಭವನ್ನು ಜನರು ವೀಕ್ಷಿಸಲು ಅನುವು ಮಾಡಿಕೊಡುವ ನಿಟ್ಟಿನಲ್ಲಿ ರೋಮ್‌ನ ವಿವಿಧ ಬೀದಿಗಳಲ್ಲಿ ಹಲವಾರು ದೊಡ್ಡ ದೂರದರ್ಶನ ಪರದೆಗಳನ್ನು ಸ್ಥಾಪಿಸಲಾಯಿತು.,"ரோம் நகரில் பல இடங்களில் ஏராளமான பெரிய தொலைக்காட்சித் திரைகள் அமைக்கப்பட்டு, மக்கள் இந்த விழாவைக் காண முடிந்தது."
63,"In many other cities of Italy and in the rest of the world, particularly in Poland, similar setups were made, which were viewed by a great number of people.","इटली के कई अन्य शहरों और दुनिया के बाकी हिस्सों में, खासकर पोलैंड में, इस तरह के सेटअप बनाए गए थे, जिन्हें बड़ी संख्या में लोगों ने देखा था।","ಇದೇ ರೀತಿಯ ಸೆಟಪ್‌ಗಳನ್ನು ಇಟಲಿಯ ಅನೇಕ ನಗರಗಳಲ್ಲಿ ಮತ್ತು ಪ್ರಪಂಚದ ಇತರೆಡೆಯಲ್ಲಿ, ಅದರಲ್ಲೂ ಮುಖ್ಯವಾಗಿ ಪೋಲೆಂಡ್‌ನಲ್ಲಿ ನಿರ್ಮಿಸಲಾಯಿತು, ಇದನ್ನು ಜನರು ಹೆಚ್ಚಿನ ಸಂಖ್ಯೆಯಲ್ಲಿ ನೋಡಿದ್ದಾರೆ.","இத்தாலியின் பல நகரங்களில் மற்றும் உலகெங்கும் குறிப்பாக போலந்தில், இதே போன்ற அமைப்புகள் ஏற்படுத்தப்பட்டன, மற்றும் அவை அதிக மக்களால் பார்க்கப்பட்டன."
64,"Historians have criticized past FBI policies for focusing resources on cases which are easy to solve, especially stolen car cases, with the intent of boosting the agency's success rate.","इतिहासकारों ने उन मामलों पर संसाधनों को केंद्रित करने के लिए एफबीआई की पिछली नीतियों की आलोचना की है जो एजेंसी की सफलता की दर को बढ़ाने के इरादे से हल करना आसान है,विशेष रूप से कार चोरी के मामलेा।","ಇತಿಹಾಸಕಾರರು,  ತಮ್ಮ ಎಜನ್ಸಿಯ ಯಶಸ್ಸಿನ ದರವನ್ನು ಹೆಚ್ಚಿಸಿಕೊಳ್ಳುವ ಸಲುವಾಗಿ  ಸುಲಭವಾಗಿ ಬಗೆಹರಿಸಬಲ್ಲ ಪ್ರಕರಣಗಳನ್ನು, ವಿಶೇಷವಾಗಿ ಕಾರು ಕಳ್ಳತನದ ಪ್ರಕರಣಗಳನ್ನು ಬಗೆಹರಿಸಲು ತಮ್ಮ ಸಂಪನ್ಮೂಲಗಳನ್ನು ಹೆಚ್ಚಿನ ಪ್ರಮಾಣದಲ್ಲಿ ಬಳಸುವ FBI ನ ನೀತಿಯನ್ನು ಯಾವಾಗಲೂ ಟೀಕಿಸಿದ್ದಾರೆ.","சரித்திர வல்லுனர்கள், முகவாண்மையின் வெற்றி விகிதத்தை உயர்த்தும் நோக்குடன் குறிப்பாக கார் திருட்டு போன்ற சுலபமாக தீர்க்கப்படக் கூடிய வழக்குகளில் வளங்களைத் திருப்பும் எஃப்பிஐயின் கடந்த காலக் கொள்கையை கடுமையாக விமரிசிக்கின்றனர்."
